dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,14382,1699,0.9691,8,50,512,113287
fashion-mnist-784-euclidean,9723,2291,0.9929,8,50,784,60000
gist-960-euclidean,368327,498,0.5927,8,50,960,1000000
glove-25-angular,52806,831,0.8889,8,50,25,1183514
glove-50-angular,69945,1002,0.7341,8,50,50,1183514
glove-100-angular,95427,1249,0.6171,8,50,100,1183514
glove-200-angular,143814,1679,0.5380,8,50,200,1183514
lastfm-64-dot,8993,3243,0.9632,8,50,65,292385
mnist-784-euclidean,11253,2492,0.9921,8,50,784,60000
nytimes-256-angular,52778,1638,0.6184,8,50,256,290000
sift-128-euclidean,75300,1210,0.9105,8,50,128,1000000
