dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,23736,1886,0.9786,8,100,512,113287
fashion-mnist-784-euclidean,15147,2354,0.9953,8,100,784,60000
gist-960-euclidean,479031,518,0.6532,8,100,960,1000000
glove-25-angular,94399,822,0.9130,8,100,25,1183514
glove-50-angular,126322,987,0.7684,8,100,50,1183514
glove-100-angular,173637,1311,0.6670,8,100,100,1183514
glove-200-angular,263550,1770,0.5962,8,100,200,1183514
lastfm-64-dot,14623,3265,0.9787,8,100,65,292385
mnist-784-euclidean,18471,2658,0.9954,8,100,784,60000
nytimes-256-angular,91627,1697,0.6854,8,100,256,290000
sift-128-euclidean,135957,1273,0.9340,8,100,128,1000000
