dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,39914,490,0.7575,64,200
fashion-mnist-784-euclidean,25042,679,0.7837,64,200
gist-960-euclidean,1432890,288,0.4425,64,200
glove-25-angular,180848,225,0.6818,64,200
glove-50-angular,292551,325,0.5780,64,200
glove-100-angular,490765,458,0.4992,64,200
glove-200-angular,1046931,696,0.4496,64,200
lastfm-64-dot,106938,635,0.5967,64,200
mnist-784-euclidean,31112,670,0.7838,64,200
nytimes-256-angular,398076,719,0.5629,64,200
sift-128-euclidean,264782,354,0.6467,64,200
