dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,39914,2713,0.9904,64,200,512,113287
fashion-mnist-784-euclidean,25042,3089,0.9994,64,200,784,60000
gist-960-euclidean,1432890,1325,0.9159,64,200,960,1000000
glove-25-angular,180848,1380,0.9913,64,200,25,1183514
glove-50-angular,292551,2105,0.9497,64,200,50,1183514
glove-100-angular,490765,3099,0.8742,64,200,100,1183514
glove-200-angular,1046931,4510,0.8107,64,200,200,1183514
lastfm-64-dot,106938,3757,0.9899,64,200,65,292385
mnist-784-euclidean,31112,3650,0.9990,64,200,784,60000
nytimes-256-angular,398076,5121,0.8688,64,200,256,290000
sift-128-euclidean,264782,2223,0.9920,64,200,128,1000000
