dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,21911,358,0.6893,16,100
fashion-mnist-784-euclidean,14440,499,0.7346,16,100
gist-960-euclidean,648603,132,0.3146,16,100
glove-25-angular,94746,167,0.5635,16,100
glove-50-angular,179094,213,0.4467,16,100
glove-100-angular,282049,294,0.3687,16,100
glove-200-angular,505580,382,0.3213,16,100
lastfm-64-dot,16067,640,0.5812,16,100
mnist-784-euclidean,16761,535,0.7396,16,100
nytimes-256-angular,245419,364,0.4089,16,100
sift-128-euclidean,132140,249,0.5368,16,100
