dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,21198,3864,0.9917,128,50,512,113287
fashion-mnist-784-euclidean,14713,5006,0.9999,128,50,784,60000
gist-960-euclidean,17242653,3057,0.9647,128,50,960,1000000
glove-25-angular,83525,1920,0.9933,128,50,25,1183514
glove-50-angular,119883,2753,0.9482,128,50,50,1183514
glove-100-angular,326275,4140,0.8798,128,50,100,1183514
glove-200-angular,5262796,6374,0.8272,128,50,200,1183514
lastfm-64-dot,62910,6668,0.9967,128,50,65,292385
mnist-784-euclidean,15389,5624,0.9996,128,50,784,60000
nytimes-256-angular,58657,4819,0.8236,128,50,256,290000
sift-128-euclidean,134763,3626,0.9969,128,50,128,1000000
