dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,12241,1914,0.9793,16,50,512,113287
fashion-mnist-784-euclidean,8465,2615,0.9968,16,50,784,60000
gist-960-euclidean,368388,679,0.7172,16,50,960,1000000
glove-25-angular,43872,939,0.9438,16,50,25,1183514
glove-50-angular,69490,1204,0.8200,16,50,50,1183514
glove-100-angular,111627,1530,0.7203,16,50,100,1183514
glove-200-angular,190683,2109,0.6551,16,50,200,1183514
lastfm-64-dot,9851,3379,0.9722,16,50,65,292385
mnist-784-euclidean,9495,2799,0.9951,16,50,784,60000
nytimes-256-angular,72922,1940,0.7004,16,50,256,290000
sift-128-euclidean,64293,1461,0.9532,16,50,128,1000000
