dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,40688,1050,0.9584,128,100
fashion-mnist-784-euclidean,25923,1569,0.9859,128,100
gist-960-euclidean,37510704,1094,0.6581,128,100
glove-25-angular,185994,389,0.8844,128,100
glove-50-angular,304982,568,0.7551,128,100
glove-100-angular,999829,819,0.6575,128,100
glove-200-angular,13574847,1302,0.6003,128,100
lastfm-64-dot,239158,1384,0.9157,128,100
mnist-784-euclidean,29579,1649,0.9817,128,100
nytimes-256-angular,163006,974,0.7165,128,100
sift-128-euclidean,283453,730,0.8744,128,100
