dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,19878,3505,0.9913,64,50,512,113287
fashion-mnist-784-euclidean,13843,4696,0.9998,64,50,784,60000
gist-960-euclidean,17428863,2234,0.9466,64,50,960,1000000
glove-25-angular,71528,1626,0.9913,64,50,25,1183514
glove-50-angular,109781,2284,0.9356,64,50,50,1183514
glove-100-angular,656805,3191,0.8581,64,50,100,1183514
glove-200-angular,3645136,4896,0.8025,64,50,200,1183514
lastfm-64-dot,40138,5092,0.9954,64,50,65,292385
mnist-784-euclidean,14363,4556,0.9995,64,50,784,60000
nytimes-256-angular,71314,3967,0.8051,64,50,256,290000
sift-128-euclidean,118988,2840,0.9954,64,50,128,1000000
