dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,21188,2305,0.9876,32,100,512,113287
fashion-mnist-784-euclidean,25273,2933,0.9987,32,100,784,60000
gist-960-euclidean,791724,941,0.8489,32,100,960,1000000
glove-25-angular,86572,1155,0.9799,32,100,25,1183514
glove-50-angular,135166,1729,0.9038,32,100,50,1183514
glove-100-angular,245012,2772,0.8133,32,100,100,1183514
glove-200-angular,492766,3023,0.7522,32,100,200,1183514
lastfm-64-dot,25604,3510,0.9856,32,100,65,292385
mnist-784-euclidean,16657,3237,0.9980,32,100,784,60000
nytimes-256-angular,238317,3100,0.7932,32,100,256,290000
sift-128-euclidean,121375,1872,0.9827,32,100,128,1000000
