dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,41280,309,0.6053,8,200
fashion-mnist-784-euclidean,25506,432,0.6588,8,200
gist-960-euclidean,851397,100,0.2490,8,200
glove-25-angular,152483,142,0.4617,8,200
glove-50-angular,199899,171,0.3521,8,200
glove-100-angular,279918,211,0.2729,8,200
glove-200-angular,418927,283,0.2271,8,200
lastfm-64-dot,26514,573,0.5448,8,200
mnist-784-euclidean,31601,491,0.6575,8,200
nytimes-256-angular,127867,270,0.30658,200
sift-128-euclidean,221895,200,0.4517
