dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,40386,2262,0.9888,16,200,512,113287
fashion-mnist-784-euclidean,25116,2824,0.9990,16,200,784,60000
gist-960-euclidean,1218476,830,0.8332,16,200,960,1000000
glove-25-angular,183446,1063,0.9768,16,200,25,1183514
glove-50-angular,355724,1432,0.8854,16,200,50,1183514
glove-100-angular,587414,1799,0.7908,16,200,100,1183514
glove-200-angular,1101400,2492,0.7321,16,200,200,1183514
lastfm-64-dot,27631,3714,0.9882,16,200,65,292385
mnist-784-euclidean,30182,3302,0.9986,16,200,784,60000
nytimes-256-angular,464108,2557,0.7881,16,200,256,290000
sift-128-euclidean,245461,1678,0.9816,16,200,128,1000000
