dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,42530,3487,0.9920,64,100,512,113287
fashion-mnist-784-euclidean,26059,4105,0.9999,64,100,784,60000
gist-960-euclidean,41611392,2495,0.9597,64,100,960,1000000
glove-25-angular,151162,1732,0.9962,64,100,25,1183514
glove-50-angular,263456,2532,0.9604,64,100,50,1183514
glove-100-angular,2055983,3777,0.8891,64,100,100,1183514
glove-200-angular,9383366,5611,0.8323,64,100,200,1183514
lastfm-64-dot,151681,5301,0.9973,64,100,65,292385
mnist-784-euclidean,29544,4797,0.9998,64,100,784,60000
nytimes-256-angular,262562,4991,0.8554,64,100,256,290000
sift-128-euclidean,245384,3208,0.9972,64,100,128,1000000
