dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,21911,2215,0.9862,16,100,512,113287
fashion-mnist-784-euclidean,14440,2793,0.9983,16,100,784,60000
gist-960-euclidean,648603,746,0.7893,16,100,960,1000000
glove-25-angular,94746,1025,0.9678,16,100,25,1183514
glove-50-angular,179094,1350,0.8637,16,100,50,1183514
glove-100-angular,282049,1665,0.7680,16,100,100,1183514
glove-200-angular,505580,2314,0.7071,16,100,200,1183514
lastfm-64-dot,16067,3409,0.9840,16,100,65,292385
mnist-784-euclidean,16761,3020,0.9977,16,100,784,60000
nytimes-256-angular,245419,2307,0.7582,16,100,256,290000
sift-128-euclidean,132140,1576,0.9740,16,100,128,1000000
