dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,23736,303,0.6015,8,100
fashion-mnist-784-euclidean,15147,413,0.6571,8,100
gist-960-euclidean,479031,98,0.2298,8,100
glove-25-angular,94399,143,0.4568,8,100
glove-50-angular,126322,172,0.3420,8,100
glove-100-angular,173637,207,0.2601,8,100
glove-200-angular,263550,277,0.2176,8,100
lastfm-64-dot,14623,571,0.5317,8,100
mnist-784-euclidean,18471,440,0.656,8,100
nytimes-256-angular,91627,266,0.2849,8,100
sift-128-euclidean,135957,197,0.4435,8,100
