dataset,M,efConstruction,dimensions,no_of_vectors,recall@100,efSearch,query_time(ms)
glove-25-angular,64,200,25,1183514,0.99,187,1238
glove-50-angular,64,200,50,1183514,0.99,583,6515
glove-100-angular,64,200,100,1183514,0.99,
glove-200-angular,64,200,200,1183514,0.99,
lastfm-64-dot,64,200,65,292385,0.99,201,3570
mnist-784-euclidean,64,200,784,60000,0.99,82,1763
nytimes-256-angular,64,200,256,290000,0.99,
sift-128-euclidean,64,200,128,1000000,0.99,183,1922

coco-i2i-512-angular,128,50,512,113287,0.99,122,2651
fashion-mnist-784-euclidean,128,50,784,60000,0.99,30,1821
gist-960-euclidean,128,50,960,1000000,0.99,416,4971
glove-25-angular,128,50,25,1183514,0.99,161,1483
glove-50-angular,128,50,50,1183514,0.99,699,9592
glove-100-angular,128,50,100,1183514,0.99,
glove-200-angular,128,50,200,1183514,0.99,
lastfm-64-dot,128,50,65,292385,0.99,109,3118
mnist-784-euclidean,128,50,784,60000,0.99,43,2124
nytimes-256-angular,128,50,256,290000,0.99,
sift-128-euclidean,128,50,128,1000000,0.99,118,2172

coco-i2i-512-angular,128,100,512,113287,0.99,74,2276
fashion-mnist-784-euclidean,128,100,784,60000,0.99,20,1733
gist-960-euclidean,128,100,960,1000000,0.99,280,5268
glove-25-angular,128,100,25,1183514,0.99,86,1143
glove-50-angular,128,100,50,1183514,0.99,324,5291
glove-100-angular,128,100,100,1183514,0.99,1068,26578
glove-200-angular,128,100,200,1183514,0.99,2612,110541
lastfm-64-dot,128,100,65,292385,0.99,78,3085
mnist-784-euclidean,128,100,784,60000,0.99,25,2067
nytimes-256-angular,128,100,256,290000,0.99,1561,56414
sift-128-euclidean,128,100,128,1000000,0.99,75,1948

coco-i2i-512-angular,128,200,512,113287,0.99,62,2104
fashion-mnist-784-euclidean,128,200,784,60000,0.99,25,1830
gist-960-euclidean,128,200,960,1000000,0.99,255,4266
glove-25-angular,128,200,25,1183514,0.99,76,1090
glove-50-angular,128,200,50,1183514,0.99,231,4354
glove-100-angular,128,200,100,1183514,0.99,677,18490
glove-200-angular,128,200,200,1183514,0.99,1611,69453
lastfm-64-dot,128,200,65,292385,0.99,69,3254
mnist-784-euclidean,128,200,784,60000,0.99,27,2039
nytimes-256-angular,128,200,256,290000,0.99,853,34674
sift-128-euclidean,128,200,128,1000000,0.99,75,2081
