dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,82750,5040,0.9926,128,200,512,113287
fashion-mnist-784-euclidean,46886,5484,1.0000,128,200,784,60000
gist-960-euclidean,69766994,3771,0.9837,128,200,960,1000000
glove-25-angular,358471,2539,0.9993,128,200,25,1183514
glove-50-angular,596186,4090,0.9868,128,200,50,1183514
glove-100-angular,2714040,6270,0.9417,128,200,100,1183514
glove-200-angular,33676862,9666,0.8890,128,200,200,1183514
lastfm-64-dot,947255,7657,0.9989,128,200,65,292385
mnist-784-euclidean,58383,6822,1.000,128,200,784,60000
nytimes-256-angular,499903,8647,0.9279,128,200,256,290000
sift-128-euclidean,536420,4521,0.9993,128,200,128,1000000
