dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,42181,2680,0.9902,32,200,512,113287
fashion-mnist-784-euclidean,24189,3100,0.9993,32,200,784,60000
gist-960-euclidean,1372561,1121,0.8941,32,200,960,1000000
glove-25-angular,166479,1259,0.9888,32,200,25,1183514
glove-50-angular,299439,1902,0.9326,32,200,50,1183514
glove-100-angular,632538,2496,0.8459,32,200,100,1183514
glove-200-angular,1583277,3572,0.7825,32,200,200,1183514
lastfm-64-dot,37319,3584,0.9896,32,200,65,292385
mnist-784-euclidean,30387,3454,0.9989,32,200,784,60000
nytimes-256-angular,1277953,3849,0.8368,32,200,256,290000
sift-128-euclidean,258675,2069,0.9904,32,200,128,1000000
