dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,40688,4718,0.9924,128,100,512,113287
fashion-mnist-784-euclidean,25923,6395,1.0000,128,100,784,60000
gist-960-euclidean,37510704,3519,0.9817,128,100,960,1000000
glove-25-angular,185994,2749,0.9984,128,100,25,1183514
glove-50-angular,304982,4035,0.9782,128,100,50,1183514
glove-100-angular,999829,6029,0.9225,128,100,100,1183514
glove-200-angular,13574847,8612,0.8691,128,100,200,1183514
lastfm-64-dot,239158,7905,0.9985,128,100,65,292385
mnist-784-euclidean,29579,6755,0.9999,128,100,784,60000
nytimes-256-angular,163006,6952,0.8886,128,100,256,290000
sift-128-euclidean,283453,4535,0.9991,128,100,128,1000000
