dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,82750,1018,0.9495,128,200
fashion-mnist-784-euclidean,46886,1469,0.9736,128,200
gist-960-euclidean,69766994,619,0.6451,128,200
glove-25-angular,358471,385,0.8718,128,200
glove-50-angular,596186,575,0.7491,128,200
glove-100-angular,2714040,895,0.6540,128,200
glove-200-angular,33676862,1383,0.5941,128,200
lastfm-64-dot,947255,1672,0.9268,128,200
mnist-784-euclidean,58383,1578,0.9736,128,200
nytimes-256-angular,499903,1106,0.7388,128,200
sift-128-euclidean,536420,734,0.8556,128,200
