dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,21188,406,0.7252,32,100
fashion-mnist-784-euclidean,25273,1516,0.7644,32,100
gist-960-euclidean,791724,183,0.3636,32,100
glove-25-angular,86572,198,0.6262,32,100
glove-50-angular,135166,254,0.5103,32,100
glove-100-angular,245012,348,0.4347,32,100
glove-200-angular,492766,523,0.3838,32,100
lastfm-64-dot,25604,640,0.6014,32,100
mnist-784-euclidean,16657,586,0.7674,32,100
nytimes-256-angular,238317,462,0.4801,32,100
sift-128-euclidean,121375,295,0.5919,32,100
