dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction
coco-i2i-512-angular,40386,384,0.7010,16,200
fashion-mnist-784-euclidean,25116,535,0.7437,16,200
gist-960-euclidean,1218476,159,0.3422,16,200
glove-25-angular,183446,176,0.5735,16,200
glove-50-angular,355724,227,0.4565,16,200
glove-100-angular,587414,291,0.3829,16,200
glove-200-angular,1101400,409,0.3363,16,200
lastfm-64-dot,27631,631,0.5968,16,200
mnist-784-euclidean,30182,552,0.7457,16,200
nytimes-256-angular,464108,391,0.4279,16,200
sift-128-euclidean,245461,258,0.5522,16,200
