dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,23169,2681,0.9901,32,50,512,113287
fashion-mnist-784-euclidean,16457,3434,0.9995,32,50,784,60000
gist-960-euclidean,11639318,1435,0.9008,32,50,960,1000000
glove-25-angular,66585,1285,0.9827,32,50,25,1183514
glove-50-angular,178348,1805,0.9029,32,50,50,1183514
glove-100-angular,774411,2366,0.8150,32,50,100,1183514
glove-200-angular,2235989,3519,0.7557,32,50,200,1183514
lastfm-64-dot,32490,4195,0.9928,32,50,65,292385
mnist-784-euclidean,15081,3680,0.9991,32,50,784,60000
nytimes-256-angular,167868,2958,0.7691,32,50,256,290000
sift-128-euclidean,127553,2141,0.9883,32,50,128,1000000
